ID,Radius [kpc],Radius [arcs],Vrot [km/s]
NGC0672,0.590,16,16.46
NGC0672,1.769,48,41.31
NGC0672,2.948,80,70.19
NGC0672,4.127,112,78.53
NGC0672,5.306,144,86.88
NGC0672,6.485,176,98.57
NGC0672,7.664,208,109.29
NGC0672,8.843,240,114.58
NGC0672,10.022,272,117.44
NGC0672,11.201,304,117.28
NGC0672,12.380,336,117.17
NGC0672,13.559,368,116.63
NGC0672,14.738,400,118.89
NGC0672,15.917,432,124.11
NGC0672,17.096,464,128.14
NGC0925,0.618,14,16.35
NGC0925,1.853,42,31.49
NGC0925,3.088,70,51.29
NGC0925,4.324,98,65.96
NGC0925,5.559,126,80.47
NGC0925,6.794,154,91.93
NGC0925,8.029,182,97.57
NGC0925,9.265,210,101.05
NGC0925,10.500,238,110.68
NGC0925,11.735,266,113.56
NGC0925,12.971,294,119.8
NGC0925,14.206,322,126.97
NGC0949,0.657,12,43.65
NGC0949,1.972,36,73.08
NGC0949,3.287,60,79.15
NGC0949,4.602,84,81.09
NGC0949,5.917,108,85.55
NGC1003,0.675,12,27.2
NGC1003,2.025,36,52.56
NGC1003,3.374,60,67.88
NGC1003,4.724,84,75.13
NGC1003,6.074,108,79.41
NGC1003,7.423,132,83.35
NGC1003,8.773,156,86.65
NGC1003,10.123,180,87.06
NGC1003,11.473,204,88.95
NGC1003,12.822,228,87.74
NGC1003,14.172,252,86.29
NGC1003,15.522,276,85.94
NGC1003,16.872,300,88.78
NGC1003,18.221,324,92.12
NGC2403,0.124,8,22.92
NGC2403,0.372,24,41.97
NGC2403,0.621,40,55.77
NGC2403,0.869,56,66.81
NGC2403,1.117,72,73.26
NGC2403,1.365,88,80.32
NGC2403,1.613,104,85.66
NGC2403,1.862,120,87.55
NGC2403,2.110,136,90.81
NGC2403,2.358,152,94.17
NGC2403,2.606,168,98.01
NGC2403,2.855,184,99.23
NGC2403,3.103,200,101.27
NGC2403,3.351,216,104.37
NGC2403,3.599,232,110.85
NGC2403,3.847,248,112.62
NGC2403,4.096,264,114.26
NGC2403,4.344,280,112.83
NGC2403,4.592,296,116.28
NGC2403,4.840,312,119.07
NGC2403,5.089,328,120.15
NGC2403,5.337,344,119.05
NGC2403,5.585,360,119.42
NGC2403,5.833,376,120.87
NGC2403,6.081,392,121.84
NGC2403,6.330,408,122.75
NGC2403,6.578,424,122.43
NGC2403,6.826,440,122.18
NGC2403,7.074,456,122.53
NGC2403,7.323,472,123.78
NGC2403,7.571,488,124.76
NGC2403,7.819,504,124.66
NGC2403,8.067,520,125.23
NGC2403,8.316,536,124.87
NGC2403,8.564,552,125.49
NGC2403,8.812,568,125.9
NGC2403,9.060,584,125.47
NGC2403,9.308,600,125.93
NGC2403,9.557,616,126.09
NGC2403,9.805,632,126.69
NGC2403,10.053,648,126.75
NGC2403,10.301,664,126.76
NGC2403,10.550,680,127.14
NGC2403,10.798,696,127.71
NGC2403,11.046,712,128.13
NGC2403,11.294,728,128.53
NGC2403,11.542,744,129.12
NGC2403,11.791,760,130.11
NGC2403,12.039,776,131.11
NGC2403,12.287,792,131.24
NGC2541,0.582,10,48.53
NGC2541,1.745,30,51.43
NGC2541,2.909,50,61.36
NGC2541,4.072,70,75.91
NGC2541,5.236,90,86.74
NGC2541,6.400,110,95.1
NGC2541,7.563,130,100.08
NGC2541,8.727,150,99.99
NGC2541,9.890,170,100.08
NGC2541,11.054,190,100.03
NGC2541,12.217,210,97.5
NGC2541,13.381,230,97.2
NGC2541,14.544,250,104.53
NGC2541,15.708,270,105
NGC2541,16.872,290,104.27
NGC3198,0.703,10,38.18
NGC3198,2.109,30,73.85
NGC3198,3.515,50,98.86
NGC3198,4.921,70,122.72
NGC3198,6.327,90,134.78
NGC3198,7.733,110,140.03
NGC3198,9.139,130,143.78
NGC3198,10.545,150,148.33
NGC3198,11.951,170,152.34
NGC3198,13.357,190,156.05
NGC3198,14.763,210,153.62
NGC3198,16.169,230,150.49
NGC3198,17.574,250,150.26
NGC3198,18.980,270,150.97
NGC3198,20.386,290,152.29
NGC3198,21.792,310,150.57
NGC3198,23.198,330,147.63
NGC3198,24.604,350,148.03
NGC3198,26.010,370,148.52
NGC3198,27.416,390,147.15
NGC3198,28.822,410,145.87
NGC4062,1.147,14,67.52
NGC4062,3.441,42,110.4
NGC4062,5.735,70,137.75
NGC4062,8.029,98,150.6
NGC4062,10.324,126,155.98
NGC4062,12.618,154,153.25
NGC4062,14.912,182,152.5
NGC4258,0.368,10,90.17
NGC4258,1.105,30,173.5
NGC4258,1.842,50,219.73
NGC4258,2.579,70,228.05
NGC4258,3.316,90,225.71
NGC4258,4.053,110,221.48
NGC4258,4.790,130,212.94
NGC4258,5.527,150,215.16
NGC4258,6.264,170,209.53
NGC4258,7.001,190,197.66
NGC4258,7.738,210,188.1
NGC4258,8.475,230,179.94
NGC4258,9.211,250,180.99
NGC4258,9.948,270,181.96
NGC4258,10.685,290,174.09
NGC4258,11.422,310,174.57
NGC4258,12.159,330,173.33
NGC4258,12.896,350,178.69
NGC4258,13.633,370,181.82
NGC4258,14.370,390,185.62
NGC4258,15.107,410,190.05
NGC4258,15.844,430,195.82
NGC4258,16.581,450,200.31
NGC4258,17.318,470,204.1
NGC4258,18.054,490,206.09
NGC4258,18.791,510,208.91
NGC4258,19.528,530,209.48
NGC4258,20.265,550,209.53
NGC4274,1.317,14,182.63
NGC4274,3.950,42,178.34
NGC4274,6.584,70,214.36
NGC4274,9.217,98,234.64
NGC4274,11.851,126,230.33
NGC4274,14.484,154,233.45
NGC4414,1.208,14,167.46
NGC4414,3.624,42,210.37
NGC4414,6.041,70,219.6
NGC4414,8.457,98,219.45
NGC4414,10.873,126,209.52
NGC4414,13.290,154,203.23
NGC4559,0.613,16,43.57
NGC4559,1.838,48,71.57
NGC4559,3.064,80,91.29
NGC4559,4.290,112,102.24
NGC4559,5.515,144,105.18
NGC4559,6.741,176,109.15
NGC4559,7.966,208,112.94
NGC4559,9.192,240,118.44
NGC4559,10.418,272,120.7
NGC4559,11.643,304,121.68
NGC4559,12.869,336,122.59
NGC4559,14.094,368,122.13
NGC4559,15.320,400,121.08
NGC4559,16.546,432,120.58
NGC4559,17.771,464,119.93
NGC5055,0.412,10,235.38
NGC5055,1.236,30,171.93
NGC5055,2.060,50,185.36
NGC5055,2.885,70,192.83
NGC5055,3.709,90,190.17
NGC5055,4.533,110,195.57
NGC5055,5.357,130,200.65
NGC5055,6.181,150,202.62
NGC5055,7.006,170,204.56
NGC5055,7.830,190,204.71
NGC5055,8.654,210,205.26
NGC5055,9.478,230,204.13
NGC5055,10.302,250,205.14
NGC5055,11.126,270,204.52
NGC5055,11.951,290,203.47
NGC5055,12.775,310,203.96
NGC5055,13.599,330,201.19
NGC5055,14.423,350,198.21
NGC5055,15.247,370,197.29
NGC5055,16.072,390,197.76
NGC5585,0.422,10,24.13
