ID,Radius [kpc],Radius [arcs],Vrot [km/s]
DDO47,0.208,8.25,12.14
DDO47,0.624,24.75,19.19
DDO47,1.040,41.25,20.99
DDO47,1.456,57.75,20.84
DDO47,1.872,74.25,18.28
DDO47,2.288,90.75,112.31
DDO47,2.704,107.25,94.85
DDO47,3.120,123.75,106.18
DDO47,3.536,140.25,67.38
DDO47,3.952,156.75,47.34
DDO47,4.368,173.25,55.88
DDO47,4.784,189.75,57.69
DDO47,5.200,206.25,56.87
DDO52,0.300,6,11.54
DDO52,0.899,18,22.65
DDO52,1.498,30,32.71
DDO52,2.097,42,64.18
DDO52,2.697,54,86.05
DDO52,3.296,66,55.54
DDO52,3.895,78,50
DDO52,4.494,90,51.98
DDO52,5.093,102,55.42
DDO52,5.693,114,50.9
DDO52,6.292,126,50
DDO53,0.065,3.75,7.54
DDO53,0.196,11.25,8.61
DDO53,0.327,18.75,8.23
DDO53,0.458,26.25,9.95
DDO53,0.589,33.75,11.35
DDO53,0.720,41.25,15.68
DDO53,0.851,48.75,18.65
DDO53,0.982,56.25,19.82
DDO53,1.113,63.75,25.14
DDO53,1.244,71.25,24.75
DDO53,1.374,78.75,12.24
DDO53,1.505,86.25,2.87
DDO87,0.252,6.75,9.79
DDO87,0.756,20.25,16.29
DDO87,1.260,33.75,34.16
DDO87,1.764,47.25,30.25
DDO87,2.268,60.75,37.3
DDO87,2.772,74.25,33.06
DDO87,3.276,87.75,35.23
DDO87,3.780,101.25,45.55
DDO87,4.284,114.75,51.84
DDO87,4.788,128.25,48.81
DDO87,5.292,141.75,50.66
DDO126,0.160,6.75,1.68
DDO126,0.481,20.25,6.24
DDO126,0.802,33.75,11.71
DDO126,1.122,47.25,19.08
DDO126,1.443,60.75,22.37
DDO126,1.764,74.25,27.31
DDO126,2.085,87.75,29.89
DDO126,2.405,101.25,32.42
DDO126,2.726,114.75,33.76
DDO126,3.047,128.25,33.79
DDO133,0.115,6.75,6.53
DDO133,0.344,20.25,24.72
DDO133,0.573,33.75,18.87
DDO133,0.802,47.25,26.57
DDO133,1.031,60.75,25.05
DDO133,1.260,74.25,25.77
DDO133,1.489,87.75,28.22
DDO133,1.718,101.25,81.87
DDO133,1.947,114.75,147.09
DDO133,2.176,128.25,186.09
DDO133,2.405,141.75,92.55
DDO133,2.634,155.25,44.54
DDO133,2.863,168.75,43.05
DDO133,3.093,182.25,35.07
DDO154,0.135,7.5,7.68
DDO154,0.404,22.5,23.88
DDO154,0.673,37.5,32.88
DDO154,0.942,52.5,22.29
DDO154,1.211,67.5,26.49
DDO154,1.480,82.5,31.55
DDO154,1.749,97.5,34.43
DDO154,2.018,112.5,35.32
DDO154,2.287,127.5,36.78
DDO154,2.556,142.5,38.86
