ID,Radius [kpc],Radius [arcs],Vrot [km/s]
NGC0672,0.59,16,16.25
NGC0672,1.769,48,41.19
NGC0672,2.948,80,70.62
NGC0672,4.127,112,77.8
NGC0672,5.306,144,86.18
NGC0672,6.485,176,97.51
NGC0672,7.664,208,108.73
NGC0672,8.843,240,114.53
NGC0672,10.022,272,117.79
NGC0672,11.201,304,118.72
NGC0672,12.38,336,117.64
NGC0672,13.559,368,87.01
NGC0672,14.738,400,50.16
NGC0672,15.917,432,120.19
NGC0672,17.096,464,122.59
NGC0925,0.618,14,19.75
NGC0925,1.853,42,30.95
NGC0925,3.088,70,51.06
NGC0925,4.324,98,66.14
NGC0925,5.559,126,81.91
NGC0925,6.794,154,98.35
NGC0925,8.029,182,95.71
NGC0925,9.265,210,100.92
NGC0925,10.5,238,109.33
NGC0925,11.735,266,112.46
NGC0925,12.971,294,118.84
NGC0925,14.206,322,127.99
NGC0949,0.657,12,58.5
NGC0949,1.972,36,72.94
NGC0949,3.287,60,78.7
NGC0949,4.602,84,80.91
NGC0949,5.917,108,85.04
NGC1003,0.675,12,26.89
NGC1003,2.025,36,51.6
NGC1003,3.374,60,67.82
NGC1003,4.724,84,75.28
NGC1003,6.074,108,79.3
NGC1003,7.423,132,83.5
NGC1003,8.773,156,86.58
NGC1003,10.123,180,87.9
NGC1003,11.473,204,89.35
NGC1003,12.822,228,86.92
NGC1003,14.172,252,86.63
NGC1003,15.522,276,86.21
NGC1003,16.872,300,87.53
NGC1003,18.221,324,88.89
NGC2403,0.124,8,27.89
NGC2403,0.372,24,40.51
NGC2403,0.621,40,55.31
NGC2403,0.869,56,66.74
NGC2403,1.117,72,72.27
NGC2403,1.365,88,79.09
NGC2403,1.613,104,84.34
NGC2403,1.862,120,87.62
NGC2403,2.11,136,90.24
NGC2403,2.358,152,94.13
NGC2403,2.606,168,98.28
NGC2403,2.855,184,101.05
NGC2403,3.103,200,102.02
NGC2403,3.351,216,105.48
NGC2403,3.599,232,111.31
NGC2403,3.847,248,113.52
NGC2403,4.096,264,113.71
NGC2403,4.344,280,112.51
NGC2403,4.592,296,115.85
NGC2403,4.84,312,118.03
NGC2403,5.089,328,120.49
NGC2403,5.337,344,119.53
NGC2403,5.585,360,119.85
NGC2403,5.833,376,120.47
NGC2403,6.081,392,121.29
NGC2403,6.33,408,122.36
NGC2403,6.578,424,122.19
NGC2403,6.826,440,121.96
NGC2403,7.074,456,122.38
NGC2403,7.323,472,123.71
NGC2403,7.571,488,124.55
NGC2403,7.819,504,124.64
NGC2403,8.067,520,125.05
NGC2403,8.316,536,125.19
NGC2403,8.564,552,125.43
NGC2403,8.812,568,125.53
NGC2403,9.06,584,125.33
NGC2403,9.308,600,125.74
NGC2403,9.557,616,126.26
NGC2403,9.805,632,126.35
NGC2403,10.053,648,126.38
NGC2403,10.301,664,127.15
NGC2403,10.55,680,127
