ID,Radius [kpc],Radius [arcs],Vrot [km/s],eVrot_1 [km/s],eVrot_2 [km/s],"Vm,t","eVm,t","Vm,r","eVm,r"
NGC0672-Bar,0.59,16,14.3,15.72,15.72,-0.88,4.09,-0.88,5.87
NGC0672-Bar,1.179,32,25,9.28,9.28,-5.45,2.94,-3.92,1.66
NGC0672-Bar,1.769,48,40.53,0.29,0.29,0,0,0,0
NGC0672-Bar,2.358,64,51.03,2.49,2.49,0,0,0,0
NGC0672-Bar,2.948,80,59.45,2.55,2.55,0,0,0,0
NGC0672-Bar,3.537,96,70.74,2.14,2.14,0,0,0,0
NGC0672-Bar,4.127,112,79.54,0.21,0.21,0,0,0,0
NGC0672-Bar,4.716,128,84.79,3.41,3.41,0,0,0,0
NGC0672-Bar,5.306,144,88.26,1.35,1.35,0,0,0,0
NGC0672-Bar,5.895,160,92.2,0.19,0.19,0,0,0,0
NGC0672-Bar,6.485,176,96.64,0.77,0.77,0,0,0,0
NGC0672-Bar,7.074,192,100.81,1.86,1.86,0,0,0,0
NGC0672-Bar,7.664,208,105.43,3.13,3.13,0,0,0,0
NGC0672-Bar,8.253,224,111.49,5.26,5.26,0,0,0,0
NGC0672-Bar,8.843,240,116.67,2.39,2.39,0,0,0,0
NGC0672-Bar,9.433,256,119.95,1.6,1.6,0,0,0,0
NGC0672-Bar,10.022,272,120.41,0.46,0.46,0,0,0,0
NGC0672-Bar,10.612,288,121.05,3.15,3.15,0,0,0,0
NGC0672-Bar,11.201,304,119.81,6.07,6.07,0,0,0,0
NGC0672-Bar,11.791,320,118.36,6.66,6.66,0,0,0,0
NGC0672-Bar,12.38,336,117.7,3.43,3.43,0,0,0,0
NGC0672-Bar,12.97,352,118.37,2.7,2.7,0,0,0,0
NGC0672-Bar,13.559,368,118.74,2.27,2.27,0,0,0,0
NGC0672-Bar,14.149,384,120.3,1.73,1.73,0,0,0,0
NGC0672-Bar,14.738,400,123.8,0.91,0.91,0,0,0,0
NGC0672-Bar,15.328,416,126.18,0.9,0.9,0,0,0,0
NGC0672-Bar,15.917,432,125.27,1,1,0,0,0,0
NGC0672-Bar,16.507,448,128.03,1.95,1.95,0,0,0,0
NGC0672-Bar,17.096,464,125.79,2.23,2.23,0,0,0,0
NGC0672-Bar,17.686,480,113.5,0.81,0.81,0,0,0,0
NGC0672-Bar,18.276,496,110.97,3.45,3.45,0,0,0,0
NGC0925-Bar,0.529,12,7.12,1.16,1.16,3.12,4.74,4.15,2.27
NGC0925-Bar,1.059,24,18.18,3.83,3.83,0.45,5.62,2.28,5.64
NGC0925-Bar,1.588,36,27.16,2.78,2.78,-2.6,19.45,1.41,17.86
NGC0925-Bar,2.118,48,41.76,1.12,1.12,-3.3,17.74,-8.74,20.31
NGC0925-Bar,2.647,60,45.01,3.9,3.9,0,0,0,0
NGC0925-Bar,3.176,72,51.64,3.21,3.21,0,0,0,0
NGC0925-Bar,3.706,84,60.54,3.25,3.25,0,0,0,0
NGC0925-Bar,4.235,96,69.43,3.79,3.79,0,0,0,0
NGC0925-Bar,4.765,108,75.49,1.44,1.44,0,0,0,0
NGC0925-Bar,5.294,120,77.45,0.21,0.21,0,0,0,0
NGC0925-Bar,5.824,132,81.23,3.74,3.74,0,0,0,0
NGC0925-Bar,6.353,144,86.13,3.99,3.99,0,0,0,0
NGC0925-Bar,6.882,156,89.87,0.32,0.32,0,0,0,0
NGC0925-Bar,7.412,168,94.42,0.06,0.06,0,0,0,0
NGC0925-Bar,7.941,180,98.79,0.95,0.95,0,0,0,0
NGC0925-Bar,8.471,192,101.53,0.84,0.84,0,0,0,0
NGC0925-Bar,9,204,104.33,0.88,0.88,0,0,0,0
NGC0925-Bar,9.529,216,106.78,2.95,2.95,0,0,0,0
NGC0925-Bar,10.059,228,109,3.42,3.42,0,0,0,0
NGC0925-Bar,10.588,240,110.81,2.97,2.97,0,0,0,0
NGC0925-Bar,11.118,252,111.1,1.8,1.8,0,0,0,0
NGC0925-Bar,11.647,264,112.07,0.61,0.61,0,0,0,0
NGC0925-Bar,12.177,276,112.84,0.23,0.23,0,0,0,0
NGC0925-Bar,12.706,288,113.13,0.88,0.88,0,0,0,0
NGC0925-Bar,13.235,300,112.85,2.28,2.28,0,0,0,0
NGC0925-Bar,13.765,312,114.15,1.84,1.84,0,0,0,0
NGC0925-Bar,14.294,324,114.87,1.76,1.76,0,0,0,0
NGC0925-Bar,14.824,336,114.58,1.12,1.12,0,0,0,0
NGC0949-Bar,0.657,12,24.17,9.6,9.6,12.52,2.89,16.01,1.26
