ID,Radius [kpc],Radius [arcs],Vrot [km/s],eVrot_1 [km/s],eVrot_2 [km/s],"Vm,t","eVm,t","Vm,r","eVm,r"
NGC0672-Disk,1.179,32,28.31,6.69,6.69,0,0,0,0
NGC0672-Disk,2.358,64,50.7,4.55,4.55,0,0,0,0
NGC0672-Disk,3.537,96,71.38,5.95,5.95,0,0,0,0
NGC0672-Disk,4.716,128,85.12,5,5,0,0,0,0
NGC0672-Disk,5.895,160,92.17,6.21,6.21,0,0,0,0
NGC0672-Disk,7.074,192,100.65,3.59,3.59,0,0,0,0
NGC0672-Disk,8.253,224,111.64,3.22,3.22,0,0,0,0
NGC0672-Disk,9.433,256,120.22,4.25,4.25,0,0,0,0
NGC0672-Disk,10.612,288,121.07,5.9,5.9,0,0,0,0
NGC0672-Disk,11.791,320,118.25,5.5,5.5,0,0,0,0
NGC0672-Disk,12.97,352,117.65,2,2,0,0,0,0
NGC0672-Disk,14.149,384,120,3.71,3.71,0,0,0,0
NGC0672-Disk,15.328,416,125.48,2.25,2.25,0,0,0,0
NGC0672-Disk,16.507,448,127.29,2.03,2.03,0,0,0,0
NGC0672-Disk,17.686,480,116.94,1.78,1.78,0,0,0,0
NGC0925-Disk,1.235,28,21.88,5.09,5.09,0,0,0,0
NGC0925-Disk,2.471,56,41.83,4.75,4.75,0,0,0,0
NGC0925-Disk,3.706,84,60.96,7,7,0,0,0,0
NGC0925-Disk,4.941,112,76.76,6.96,6.96,0,0,0,0
NGC0925-Disk,6.177,140,83.24,7.06,7.06,0,0,0,0
NGC0925-Disk,7.412,168,94.3,6.51,6.51,0,0,0,0
NGC0925-Disk,8.647,196,102.3,5.95,5.95,0,0,0,0
NGC0925-Disk,9.882,224,108.44,5.82,5.82,0,0,0,0
NGC0925-Disk,11.118,252,111.52,7.02,7.02,0,0,0,0
NGC0925-Disk,12.353,280,112.69,6.79,6.79,0,0,0,0
NGC0925-Disk,13.588,308,115.43,7.62,7.62,0,0,0,0
NGC0925-Disk,14.824,336,114.82,6.82,6.82,0,0,0,0
NGC0949-Disk,1.315,24,58.02,6.28,6.28,0,0,0,0
NGC0949-Disk,2.63,48,72.29,3.27,3.27,0,0,0,0
NGC0949-Disk,3.944,72,83.71,1.94,1.94,0,0,0,0
NGC0949-Disk,5.259,96,78.84,2.75,2.75,0,0,0,0
NGC0949-Disk,6.574,120,73.68,5.14,5.14,0,0,0,0
NGC1003-Disk,1.35,24,37.46,0.64,0.64,0,0,0,0
NGC1003-Disk,2.699,48,60.14,1.18,1.18,0,0,0,0
NGC1003-Disk,4.049,72,73.02,1.41,1.41,0,0,0,0
NGC1003-Disk,5.399,96,77.87,0.94,0.94,0,0,0,0
NGC1003-Disk,6.749,120,81.23,1.43,1.43,0,0,0,0
