ID,Radius [kpc],Radius [arcs],Vrot [km/s],eVrot_1 [km/s],eVrot_2 [km/s],"Vm,t","eVm,t","Vm,r","eVm,r"
DDO47-Disk,0.416,17,34.6,10.53,10.53,0,0,0,0
DDO47-Disk,0.832,33,46.21,9.88,9.88,0,0,0,0
DDO47-Disk,1.248,50,43.39,7.51,7.51,0,0,0,0
DDO47-Disk,1.664,66,43.91,8.92,8.92,0,0,0,0
DDO47-Disk,2.08,83,45.51,8.19,8.19,0,0,0,0
DDO47-Disk,2.496,99,60.05,17.96,17.96,0,0,0,0
DDO47-Disk,2.912,116,75.62,22.78,22.78,0,0,0,0
DDO47-Disk,3.328,132,85.12,22.94,22.94,0,0,0,0
DDO47-Disk,3.744,149,99.81,27.13,27.13,0,0,0,0
DDO47-Disk,4.16,165,108.51,28.14,28.14,0,0,0,0
DDO47-Disk,4.576,182,114.24,29.48,29.48,0,0,0,0
DDO47-Disk,4.992,198,117.21,28.73,28.73,0,0,0,0
DDO47-Disk,5.408,215,125.61,30.71,30.71,0,0,0,0
DDO52-Disk,0.599,12,18.95,1.01,1.01,0,0,0,0
DDO52-Disk,1.198,24,33.58,1.44,1.44,0,0,0,0
DDO52-Disk,1.798,36,43.97,1.07,1.07,0,0,0,0
DDO52-Disk,2.397,48,48.38,0.43,0.43,0,0,0,0
DDO52-Disk,2.996,60,53.02,0.62,0.62,0,0,0,0
DDO52-Disk,3.595,72,58.1,1.93,1.93,0,0,0,0
DDO52-Disk,4.195,84,60.29,2.83,2.83,0,0,0,0
DDO52-Disk,4.794,96,61.03,3.23,3.23,0,0,0,0
DDO52-Disk,5.393,108,63.03,3.31,3.31,0,0,0,0
DDO52-Disk,5.992,120,64.2,3.04,3.04,0,0,0,0
DDO52-Disk,6.592,132,66.32,2.64,2.64,0,0,0,0
DDO53-Disk,0.131,8,4.39,3.46,3.46,0,0,0,0
DDO53-Disk,0.262,15,7.56,6.02,6.02,0,0,0,0
DDO53-Disk,0.393,23,24.28,2.91,2.91,0,0,0,0
DDO53-Disk,0.524,30,20.59,1.35,1.35,0,0,0,0
DDO53-Disk,0.654,38,31.44,4.45,4.45,0,0,0,0
DDO53-Disk,0.785,45,30.18,5.83,5.83,0,0,0,0
DDO53-Disk,0.916,53,38.78,2.04,2.04,0,0,0,0
DDO53-Disk,1.047,60,26.07,7.25,7.25,0,0,0,0
DDO53-Disk,1.178,68,44.92,7.87,7.87,0,0,0,0
DDO53-Disk,1.309,75,44.7,6.66,6.66,0,0,0,0
