ID,Radius [kpc],Radius [arcs],Vrot [km/s],eVrot_1 [km/s],eVrot_2 [km/s]
NGC0672,0.59,16,15.68,-3.958,3.716
NGC0672,1.769,48,42.125,-4.31,4.849
NGC0672,2.948,80,71.237,-5.484,4.769
NGC0672,4.127,112,78.906,-4.573,4.314
NGC0672,5.306,144,88.598,-3.36,3.393
NGC0672,6.485,176,101.77,-3.719,3.282
NGC0672,7.664,208,113.44,-5.237,4.219
NGC0672,8.843,240,114.212,-4.437,5.884
NGC0672,10.022,272,119.402,-4.317,4.136
NGC0672,11.201,304,122.35,-4.246,3.854
NGC0672,12.381,336,119.827,-5.804,5.94
NGC0672,13.56,368,115.625,-8.398,9.219
NGC0672,14.739,400,118.958,-12.541,12.238
NGC0672,15.918,432,113.889,-14.272,18.056
NGC0672,17.097,464,108.539,-14.437,19.171
NGC0925,0.618,14,17.42,-4.576,4.569
NGC0925,1.853,42,35.757,-5.433,6.056
NGC0925,3.088,70,51.766,-7.213,10.809
NGC0925,4.324,98,74.301,-9.554,11.352
NGC0925,5.559,126,90.436,-9.683,8.659
NGC0925,6.794,154,90.442,-6.736,7.412
NGC0925,8.03,182,104.255,-6.276,6.273
NGC0925,9.265,210,115.446,-7.047,6.09
NGC0925,10.5,238,115.838,-8.031,9.245
NGC0925,11.736,266,119.509,-8.092,7.427
NGC0925,12.971,294,113.865,-7.123,7.477
NGC0925,14.206,322,113.627,-7.569,7.696
NGC0949,0.657,12,61.003,-6.41,5.725
NGC0949,1.972,36,75.286,-5.744,6.054
NGC0949,3.287,60,87.916,-5.701,4.984
NGC0949,4.602,84,86.46,-6.216,5.522
NGC0949,5.917,108,87.672,-7.902,6.932
NGC1003,0.675,12,27.957,-7.332,7.165
NGC1003,2.025,36,53.819,-6.046,5.775
NGC1003,3.374,60,70.102,-7.522,7.728
NGC1003,4.724,84,76.834,-9.256,9.073
NGC1003,6.074,108,85.479,-5.963,5.736
NGC1003,7.424,132,92.069,-5.059,5.174
NGC1003,8.773,156,97.302,-7.148,5.875
NGC1003,10.123,180,83.743,-8.372,10.066
NGC1003,11.473,204,86.789,-8.932,8.949
NGC1003,12.823,228,86.553,-6.57,6.983
NGC1003,14.172,252,87.903,-5.513,5.514
NGC1003,15.522,276,88.871,-4.72,3.976
NGC1003,16.872,300,91.586,-4.246,4.073
NGC1003,18.222,324,91.33,-5.097,5.722
NGC2403,0.124,8,32.761,-5.184,5.334
NGC2403,0.372,24,48.282,-5.482,4.892
NGC2403,0.621,40,64.139,-5.183,5.224
NGC2403,0.869,56,73.905,-4.55,4.625
NGC2403,1.117,72,78.317,-3.687,4.232
NGC2403,1.365,88,85.353,-3.193,2.825
NGC2403,1.614,104,87.551,-4.027,4.486
NGC2403,1.862,120,92.131,-3.897,3.284
NGC2403,2.11,136,94.454,-3.741,3.958
NGC2403,2.358,152,97.898,-5.395,4.244
NGC2403,2.606,168,98.027,-5.06,4.873
NGC2403,2.855,184,100.263,-4.594,4.544
NGC2403,3.103,200,104.878,-5.22,4.577
NGC2403,3.351,216,109.866,-3.892,4.266
NGC2403,3.599,232,111.636,-3.863,3.998
NGC2403,3.848,248,115.649,-3.945,4.338
NGC2403,4.096,264,119.639,-3.96,3.912
NGC2403,4.344,280,120.405,-5.471,5.595
NGC2403,4.592,296,121.741,-6.274,5.895
NGC2403,4.841,312,123.161,-6.041,6.682
NGC2403,5.089,328,124.904,-5.215,7.158
NGC2403,5.337,344,127.008,-5.582,5.73
NGC2403,5.585,360,126.504,-4.725,4.494
NGC2403,5.833,376,125.4,-5.071,5.276
NGC2403,6.082,392,128.311,-5.173,4.325
NGC2403,6.33,408,128.956,-5.082,4.213
NGC2403,6.578,424,128.317,-5.343,4.354
NGC2403,6.826,440,126.95,-4.396,3.705
NGC2403,7.075,456,126.768,-4.017,3.05
NGC2403,7.323,472,127.649,-4.033,3.697
NGC2403,7.571,488,128.311,-4.245,3.69
NGC2403,7.819,504,128.182,-3.615,3.369
NGC2403,8.068,520,128.943,-3.601,3.681
NGC2403,8.316,536,130.178,-4.396,3.989
NGC2403,8.564,552,130.339,-4.077,4.572
NGC2403,8.812,568,129.577,-4.487,4.389
NGC2403,9.06,584,128.498,-4.375,3.877
NGC2403,9.309,600,127.684,-4.156,4.456
NGC2403,9.557,616,128.364,-3.61,2.975
NGC2403,9.805,632,128.399,-3.51,3.128
NGC2403,10.053,648,128.079,-3.319,3.304
NGC2403,10.302,664,129.127,-3.375,3.568
NGC2403,10.55,680,130.906,-3.285,3.648
NGC2403,10.798,696,131.552,-3.525,3.676
NGC2403,11.046,712,132.278,-3.608,3.375
NGC2403,11.295,728,133.694,-3.685,3.24
NGC2403,11.543,744,133.932,-3.614,3.478
NGC2403,11.791,760,134.502,-3.672,3.489
NGC2403,12.039,776,135.145,-2.603,2.603
NGC2403,12.287,792,135.247,-4.054,3.476
NGC2541,0.582,10,45.931,-6.359,5.17
NGC2541,1.745,30,52.253,-3.777,3.704
NGC2541,2.909,50,63.835,-4.367,4.721
NGC2541,4.073,70,80.411,-4.132,4.025
NGC2541,5.236,90,91.455,-2.664,2.442
NGC2541,6.4,110,99.095,-2.546,2.417
NGC2541,7.563,130,99.468,-2.639,3.57
